# Baseline: 2026-07-21T18:49:25+02:00 GCC_OPT=-O2 TCC=8c18fcc0
test,function,tcc_O2,gcc_-O2
gcc-compile/20020605-1,f,1,1
gcc-compile/20020706-1,crashIt,66,33
gcc-compile/20020706-2,crashIt,40,55
gcc-compile/20020709-1,bar,1,1
gcc-compile/20020710-1,foo,5,1
gcc-compile/20020715-1,scale,12,4
gcc-compile/20020807-1,test,3,1
gcc-compile/20020926-1,bar,16,13
gcc-compile/20020930-1,expm1f,11,8
gcc-compile/20021001-1,foo,14,5
gcc-compile/20021007-1,foo,1,1
gcc-compile/20021008-1,main,1,12
gcc-compile/20021015-1,f,13,7
gcc-compile/20021015-2,f,1,1
gcc-compile/20021103-1,foo,1,1
gcc-compile/20021108-1,main,1,4
gcc-compile/20021110,foo,1,1
gcc-compile/20021119-1,foo,1,1
gcc-compile/20021124-1,foo,2,2
gcc-compile/20021204-1,foo,2,2
gcc-compile/20021204-1,t,2,2
gcc-compile/20021205-1,xyzzy,11,11
gcc-compile/20021212-1,foo,24,34
gcc-compile/20030109-1,foo,13,5
gcc-compile/20030110-1,foo,17,19
gcc-compile/20030125-1,func,13,8
gcc-compile/20030206-1,baz,4,4
gcc-compile/20030216-1,polynomial,64,63
gcc-compile/20030219-1,clobber_register,7,7
gcc-compile/20030220-1,foo,2,4
gcc-compile/20030224-1,zzz,29,32
gcc-compile/20030314-1,f,1,1
gcc-compile/20030319-1,int_64_com,25,9
gcc-compile/20030323-1,banana,12,10
gcc-compile/20030330-1,f,8,1
gcc-compile/20030331-1,foo,10,3
gcc-compile/20030405-1,bar,21,30
gcc-compile/20030405-2,fixdiv,24,74
gcc-compile/20030405-2,fixfloor,9,2
gcc-compile/20030405-2,fixtof,6,6
gcc-compile/20030405-2,fixtoi,18,3
gcc-compile/20030405-2,foo,23,62
gcc-compile/20030405-2,ftofix,50,47
gcc-compile/20030405-2,itofix,2,2
gcc-compile/20030415-1,g,6,5
gcc-compile/20030416-1,foo,7,4
gcc-compile/20030416-1,main,7,4
gcc-compile/20030418-1,foo,3,10
gcc-compile/20030503-1,foo,3,1
gcc-compile/20030518-1,bar,6,7
gcc-compile/20030518-1,foo,5,6
gcc-compile/20030604-1,f,1,1
gcc-compile/20030605-1,set_bh_page,6,5
gcc-compile/20030612-1,test,4,2
gcc-compile/20030624-1,foo,3,4
gcc-compile/20030703-1,MBMotionEstimation,24,18
gcc-compile/20030704-1,foo,8,4
gcc-compile/20030707-1,foo,6,3
gcc-compile/20030708-1,foo,6,7
gcc-compile/20030716-1,foo,1,1
gcc-compile/20030725-1,foo,23,11
gcc-compile/20030804-1,f,33,28
gcc-compile/20030821-1,foo,9,2
gcc-compile/20030823-1,foo,4,4
gcc-compile/20030903-1,carg_test,23,14
gcc-compile/20030903-1,conj_test,43,23
gcc-compile/20030904-1,foo,461,605
gcc-compile/20030907-1,f,1,1
gcc-compile/20030910-1,test,1,1
gcc-compile/20030917-1,blah,15,9
gcc-compile/20030921-1,g,4,1
gcc-compile/20030921-1,h,4,1
gcc-compile/20030921-1,main,5,2
gcc-compile/20031002-1,bug12292,9,11
gcc-compile/20031010-1,f2,11,5
gcc-compile/20031011-1,x,11,6
gcc-compile/20031011-2,h,14,11
gcc-compile/20031023-1,bar,15,15
gcc-compile/20031023-1,baz,22,22
gcc-compile/20031023-1,foo,16,21
gcc-compile/20031023-1,main,15,14
gcc-compile/20031023-2,bar,15,15
gcc-compile/20031023-2,baz,22,22
gcc-compile/20031023-2,foo,16,21
gcc-compile/20031023-2,main,15,14
gcc-compile/20031023-3,bar,15,15
gcc-compile/20031023-3,baz,22,22
gcc-compile/20031023-3,foo,16,21
gcc-compile/20031023-3,main,15,14
gcc-compile/20031023-4,bar,15,15
gcc-compile/20031023-4,baz,22,22
gcc-compile/20031023-4,foo,16,21
gcc-compile/20031023-4,main,15,14
gcc-compile/20031031-1,internal_insn_latency,41,28
gcc-compile/20031031-2,reset_lists,4,1
gcc-compile/20031102-1,foo,6,1
gcc-compile/20031112-1,__finite,2,2
gcc-compile/20031113-1,attribute_list_contained,2,2
gcc-compile/20031113-1,simple_cst_equal,1,1
gcc-compile/20031113-1,simple_cst_list_equal,2,2
gcc-compile/20031124-1,f,6,6
gcc-compile/20031125-1,proc4WithoutFDFE,66,41
gcc-compile/20031125-2,render_blob_line,1,3
gcc-compile/20031203-1,location_completer,31,27
gcc-compile/20031203-2,foo,6,4
gcc-compile/20031203-3,bar,1,1
gcc-compile/20031208-1,bar,7,8
gcc-compile/20031220-1,all,12,18
gcc-compile/20031220-2,__ieee754_sinhf,105,94
gcc-compile/20031227-1,foo,1,1
gcc-compile/20031231-1,test,75,51
gcc-compile/20040101-1,test16,28,13
gcc-compile/20040109-1,foo,1,5
gcc-compile/20040121-1,print_file_desc,79,46
gcc-compile/20040124-1,f1,30,27
gcc-compile/20040130-1,TestG928,14,10
gcc-compile/20040202-1,foo,1,1
gcc-compile/20040209-1,foo,5,4
gcc-compile/20040214-1,foo,1,1
gcc-compile/20040214-2,b,19,46
gcc-compile/20040216-1,foo,10,5
gcc-compile/20040219-1,foo,3,3
gcc-compile/20040220-1,show_interrupts,1,2
gcc-compile/20040303-1,RemoveInput,7,3
gcc-compile/20040303-2,test4,14,9
gcc-compile/20040304-1,cpplib_macroExpand,15,7
gcc-compile/20040304-2,foo,1,1
gcc-compile/20040309-1,fubar,15,2
gcc-compile/20040310-1,I_wacom,8,9
gcc-compile/20040317-1,String2Array,1,1
gcc-compile/20040317-3,I_wacom,8,9
gcc-compile/20040323-1,_dl_start,3,3
gcc-compile/20040401-1,__atomic_readv_replacement,8,5
gcc-compile/20040415-1,f,4,2
gcc-compile/20040415-2,f1,4,2
gcc-compile/20040419-1,f,24,23
gcc-compile/20040610-1,foo,7,14
gcc-compile/20040611-1,foo,8,6
gcc-compile/20040614-1,f,9,3
gcc-compile/20040621-1,ssbgst,15,13
gcc-compile/20040624-1,bar,7,3
gcc-compile/20040705-1,f,6,9
gcc-compile/20040708-1,apr_proc_mutex_defname,10,1
gcc-compile/20040709-1,sub,9,5
gcc-compile/20040726-1,foo,12,3
gcc-compile/20040726-2,foo,5,2
gcc-compile/20040727-1,GC_dirty_init,6,5
gcc-compile/20040730-1,super_1_sync,23,15
gcc-compile/20040817-1,foo,23,17
gcc-compile/20040824-1,foo,3,3
gcc-compile/20040907-1,ProdWord_bla,25,30
gcc-compile/20040908-1,foo,12,11
gcc-compile/20040914-1,process_second_stream,48,35
gcc-compile/20040916-1,foo,10,4
gcc-compile/20041005-1,f,1,1
gcc-compile/20041007-1,foo,6,5
gcc-compile/20041018-1,foo,81,77
gcc-compile/20041026-1,foo,12,21
gcc-compile/20041119-1,bar,35,21
gcc-compile/20041211-1,crash,8,10
gcc-compile/20050105-1,foo,3,1
gcc-compile/20050119-1,f,21,28
gcc-compile/20050119-1,wchar.0,29,17
gcc-compile/20050122-1,g,11,8
gcc-compile/20050122-2,g,41,33
gcc-compile/20050122-2,h.0,25,13
gcc-compile/20050202-1,g,5,2
gcc-compile/20050206-1,foo,2,2
gcc-compile/20050210-1,bar,10,2
gcc-compile/20050215-2,f2,3,5
gcc-compile/20050215-2,f3,3,1
gcc-compile/20050215-2,f4,3,5
gcc-compile/20050215-3,f2,3,5
gcc-compile/20050215-3,f3,3,1
gcc-compile/20050215-3,f4,3,5
gcc-compile/20050217-1,g,8,4
gcc-compile/20050303-1,crc,1,1
gcc-compile/20050328-1,bar,6,6
gcc-compile/20050328-1,baz,2,2
gcc-compile/20050328-1,foo,6,6
gcc-compile/20050423-1,foo,19,15
gcc-compile/20050510-1,bar,9,3
gcc-compile/20050516-1,foo,4,4
gcc-compile/20050520-1,bar,9,7
gcc-compile/20050622-1,foo,13,16
gcc-compile/20050721-1,func3,20,46
gcc-compile/20050801-1,nothrow_libfn_p,1,1
gcc-compile/20050801-2,g,1,2
gcc-compile/20051207-1,foo,3,11
gcc-compile/20051216-1,test,406,291
gcc-compile/20051228-1,foo,7,1
gcc-compile/20060109-1,cb_ident,12,11
gcc-compile/20060109-1,init_c_lex,3,4
gcc-compile/20060202-1,get_imp,13,15
gcc-compile/20060208-1,test,7,2
gcc-compile/20060215-1,test,27,32
gcc-compile/20060217-1,foo,16,8
gcc-compile/20060309-1,foo,3,1
gcc-compile/20060419-1,foo,14,6
gcc-compile/20060421-1,foo,1,1
gcc-compile/20060609-1,__strspn_c2,2,8
gcc-compile/20060625-1,foo,12,9
gcc-compile/20060823-1,test,13,1
gcc-compile/20060826-1,foo,17,19
gcc-compile/20060904-1,foo,13,10
gcc-compile/20061005-1,testc,5,8
gcc-compile/20061005-1,testc2,6,10
gcc-compile/20061005-1,tests,5,8
gcc-compile/20061214-1,foo,10,8
gcc-compile/20070121,add234_internal,19,12
gcc-compile/20070129,Perl_pregcomp,4,2
gcc-compile/20070419-1,foo,7,5
gcc-compile/20070501-1,f,14,7
gcc-compile/20070520-1,ff_pred8x8_plane_c,101,85
gcc-compile/20070522-1,get_collisions,1,4
gcc-compile/20070529-1,hfs_free_fork,13,9
gcc-compile/20070529-2,xfs_dir2_grow_inode,13,2
gcc-compile/20070531-1,f,12,8
gcc-compile/20070531-2,f,1,1
gcc-compile/20070603-1,f,20,20
gcc-compile/20070603-2,f,29,22
gcc-compile/20070605-1,quantize_fs_dither,14,8
gcc-compile/20070827-1,foo,24,16
gcc-compile/20070905-1,foo,12,24
gcc-compile/20070906-1,foo,1,1
gcc-compile/20070915-1,test6,16,4
gcc-compile/20070919-1,gsm0610_unpack_voip,100,59
gcc-compile/20071027-1,picture_size_new,6,3
gcc-compile/20071027-1,picture_sizes_load_default,14,3
